id,name,gender,member_since,year_of_birth,place_of_birth,genres
0,Jewel E. Ann,female,September 1 2013,1970,Sierra Leone,romance
1,Maureen Mayer,female,January 26 2017,1967,Japan,romance
2,Jon Stewart,male,October 22 2010,1971,Cyprus,nonfiction$humor
3,Tymber Dalton,female,July 9 2007,1994,Thailand,romance
4,Melody Anne,male,February 16 2018,1994,Egypt,contemporary
5,Nic Sheff,male,July 22 2013,1955,Djibouti,memoir$non-fiction
6,Noah Elkrief,male,February 11 2010,1997,Comoros,self-help$spirituality
7,Katie McGarry,female,March 23 2012,1992,Iceland,young-adult
8,David Grossman,male,November 26 2013,1967,Burkina,nonfiction$children-s-books$literature-fiction
9,M.H. Boroson,male,February 22 2014,1972,Burma,fantasy
10,Alan Bradley,male,February 19 2019,1963,Peru,mystery-thrillers$biographies-memoirs
11,Candice Millard,female,June 10 2013,1967,Argentina,biographies-memoirs
12,Oren Harman,male,May 24 2010,1986,East Timor,science
13,Janeal Falor,female,August 14 2011,1959,Swaziland,young-adult
14,Dian Fossey,male,June 7 2008,1972,Solomon,outdoors-nature$nonfiction
15,T.J. Klune,male,January 2 2016,1987,Liechtenstein,gay-lesbian
16,Claire LaZebnik,female,June 9 2008,1965,Croatia,literature-fiction$young-adult
17,Kakuzō Okakura,male,November 22 2010,1979,Tanzania,nonfiction$history
18,W.B. Belcher,male,August 16 2016,1997,Guatemala,fiction
19,MeiLin Miranda,female,August 13 2007,1967,Chad,fantasy
20,Tim Federle,male,May 27 2014,1999,Lithuania,humor
21,Lauren Baratz-Logsted,female,September 24 2016,1980,Vatican,literature-fiction
22,Alison Weir,female,November 3 2014,1950,Tonga,history
23,Carla Laureano,female,September 15 2007,1973,Korea,contemporary
24,Melissa Landers,male,October 14 2012,1951,Croatia,young-adult$science-fiction
25,A. Meredith Walters,female,August 5 2018,1959,Central African Republic,romance
26,Pink Hanamori,male,March 24 2009,1982,Uganda,manga$romance
27,John C. Maxwell,male,November 23 2016,1989,St Kitts,business-investing
28,Angel  Martinez,female,September 24 2012,1973,Nepal,science-fiction-fantasy
29,Shubham Choudhary,male,January 11 2018,1969,Myanmar,chick-lit
30,Mike Dooley,male,April 6 2011,1993,Croatia,health-mind-body
31,Fay Weldon,female,April 3 2016,1967,Barbados,literature-fiction
32,D.T. Dyllin,female,September 2 2015,1976,Slovakia,paranormal-romance
33,Brodi Ashton,male,May 24 2011,1985,Mauritania,young-adult
34,John Gardner,male,February 11 2010,1970,Central African Republic,literature-fiction
35,Bruce Holsinger,male,August 9 2011,1992,Bangladesh,fiction
36,Jettie Woodruff,male,November 18 2017,1998,Cameroon,romance
37,JoAnna Carl,female,December 21 2007,1986,Croatia,mystery-thrillers
38,Scott Hildreth,male,February 18 2014,1960,Burma,romance
39,C. JoyBell C.,female,April 26 2015,1960,Maldives,literature-fiction
40,Jo Walton,female,December 24 2009,1977,Cameroon,science-fiction-fantasy
41,T.H. Snyder,male,April 10 2008,1972,Bahamas,romance
42,Lily Hoshino,female,September 23 2010,1977,Syria,manga
43,R.L. Stine,male,March 23 2018,1982,Liechtenstein,horror
44,Emilio Salgari,male,April 1 2014,1953,Chad,fiction$classics
45,Hannah Harrington,male,November 6 2010,1951,Zambia,young-adult
46,Maureen Doyle McQuerry,male,June 22 2018,1969,Guatemala,literature-fiction
47,Stephen Blackmoore,male,February 25 2015,1954,South Sudan,mystery-thrillers
48,Stephen R. Donaldson,male,March 3 2010,1993,Kuwait,science-fiction-fantasy$mystery-thrillers
49,Desmond Morris,male,February 8 2013,1973,Senegal,nonfiction$science
50,Lyra Parish,female,January 28 2009,1972,Turkmenistan,romance
51,R. Scarlett,female,June 3 2008,1961,Mali,romance
52,Elizabeth Peters,female,October 8 2013,1951,South Sudan,mystery-thrillers$humor
53,Mari Hamill,female,June 10 2007,1999,Kyrgyzstan,fantasy
54,Annalise Grey,male,November 22 2015,1968,Mozambique,poetry
